Risk_Categories,state,designatedArea,disaster_count,Coastal Storm,Dam/Levee Break,Earthquake,Fire,Flood,Hurricane,Mud/Landslide,Other,Severe Ice Storm,Severe Storm,Snowstorm,Straight-Line Winds,Tornado,Tropical Storm,Volcanic Eruption,Winter Storm,total_incidents,discrepancy
High Risk,AL,Butler (County),10,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,10,0
High Risk,AL,Calhoun (County),6,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,6,0
High Risk,AL,Cherokee (County),6,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,6,0
High Risk,AL,Fayette (County),5,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,5,0
High Risk,AL,Greene (County),7,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,7,0
High Risk,AL,Henry (County),8,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,8,0
High Risk,AL,Lawrence (County),4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,4,0
High Risk,AL,Lee (County),6,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,6,0
High Risk,AL,Marshall (County),5,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,5,0
High Risk,AL,Morgan (County),6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,6,0
High Risk,AL,Perry (County),9,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,9,0
High Risk,AL,Pike (County),8,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,8,0
High Risk,AL,Randolph (County),7,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,7,0
High Risk,AL,Shelby (County),6,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,6,0
High Risk,AR,Benton (County),4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4,0
High Risk,AR,Calhoun (County),4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,4,0
High Risk,AR,Carroll (County),4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4,0
High Risk,AR,Clark (County),2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0
High Risk,AR,Columbia (County),2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0
High Risk,AR,Crawford (County),6,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,6,0
High Risk,AR,Grant (County),3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0
High Risk,AR,Greene (County),3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0
High Risk,AR,Johnson (County),5,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,5,0
High Risk,AR,Lawrence (County),4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4,0
High Risk,AR,Lee (County),2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0
High Risk,AR,Logan (County),6,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,6,0
High Risk,AR,Perry (County),6,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,6,0
High Risk,AR,Pike (County),3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0
High Risk,AR,Polk (County),4,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4,0
High Risk,AR,Randolph (County),5,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,5,0
High Risk,AR,Scott (County),4,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4,0
High Risk,CA,Lake (County),19,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,19,0
High Risk,CA,Orange (County),10,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,10,0
High Risk,CO,Adams (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,CO,Douglas (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,CO,Logan (County),2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
High Risk,CO,Morgan (County),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
High Risk,FL,Calhoun (County),19,0,0,0,1,0,13,0,0,0,1,0,0,0,4,0,0,19,0
High Risk,FL,Columbia (County),18,0,0,0,0,0,12,0,0,0,2,0,0,0,4,0,0,18,0
High Risk,FL,Hamilton (County),18,0,0,0,0,0,12,0,0,0,2,0,0,0,4,0,0,18,0
High Risk,FL,Lake (County),16,0,0,0,0,0,11,0,0,0,1,0,0,0,4,0,0,16,0
High Risk,FL,Lee (County),17,0,0,0,1,0,10,0,0,0,1,0,0,0,5,0,0,17,0
High Risk,FL,Orange (County),16,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,16,0
