Risk_Categories,femaDeclarationString,disasterNumber,state,declarationType,declarationDate,declarationYear,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,disaster_count
Low Risk,FM-5530-NV,5530,NV,FM,8/12/2024,2024,2024,Fire,GOLD RANCH FIRE,0,0,1,1,8/11/2024 12:00:00 AM,,,0,32,31,99031,Washoe (County),24123,,2024081201,9,R,8/27/2024 6:22:15 PM,46
Severe Risk,FM-5529-OR,5529,OR,FM,8/9/2024,2024,2024,Fire,LEE FALLS FIRE,0,0,1,1,8/8/2024 12:00:00 AM,,,0,41,67,99067,Washington (County),24122,,2024081001,10,R,8/27/2024 6:22:15 PM,572
Severe Risk,FM-5528-OR,5528,OR,FM,8/6/2024,2024,2024,Fire,ELK LANE FIRE,0,0,1,1,8/4/2024 12:00:00 AM,,,0,41,31,99031,Jefferson (County),24116,,2024080701,10,R,8/27/2024 6:22:15 PM,517
Low Risk,FM-5527-OR,5527,OR,FM,8/2/2024,2024,2024,Fire,MILE MARKER 132 FIRE,0,0,1,1,8/2/2024 12:00:00 AM,,,0,41,17,99017,Deschutes (County),24111,,2024080301,10,R,8/27/2024 6:22:15 PM,18
Low Risk,FM-5522-CA,5522,CA,FM,7/27/2024,2024,2024,Fire,BOREL FIRE,0,0,1,1,7/25/2024 12:00:00 AM,,,0,6,29,99029,Kern (County),24102,,2024072701,9,R,8/27/2024 6:22:15 PM,40
Low Risk,FM-5521-WA,5521,WA,FM,7/26/2024,2024,2024,Fire,RETREAT FIRE,0,0,1,1,7/23/2024 12:00:00 AM,,,0,53,77,99077,Yakima (County),24098,,2024072601,10,R,8/27/2024 6:22:15 PM,34
Low Risk,FM-5520-ID,5520,ID,FM,7/26/2024,2024,2024,Fire,GWEN FIRE,0,0,1,1,7/25/2024 12:00:00 AM,,,0,16,0,57340,Nez Perce Indian Reservation,24099,,2024072602,10,R,8/27/2024 6:22:15 PM,6
Low Risk,FM-5520-ID,5520,ID,FM,7/26/2024,2024,2024,Fire,GWEN FIRE,0,0,1,1,7/25/2024 12:00:00 AM,,,0,16,57,99057,Latah (County),24099,,2024072602,10,R,8/27/2024 6:22:15 PM,14
Low Risk,FM-5520-ID,5520,ID,FM,7/26/2024,2024,2024,Fire,GWEN FIRE,0,0,1,1,7/25/2024 12:00:00 AM,,,0,16,69,99069,Nez Perce (County),24099,,2024072602,10,R,8/27/2024 6:22:15 PM,13
Moderate Risk,FM-5519-CA,5519,CA,FM,7/25/2024,2024,2024,Fire,PARK FIRE,0,0,1,1,7/24/2024 12:00:00 AM,,,0,6,7,99007,Butte (County),24097,,2024072502,9,R,8/27/2024 6:22:15 PM,66
Low Risk,FM-5519-CA,5519,CA,FM,7/25/2024,2024,2024,Fire,PARK FIRE,0,0,1,1,7/24/2024 12:00:00 AM,,,0,6,103,99103,Tehama (County),24097,,2024072502,9,R,8/27/2024 6:22:15 PM,25
Low Risk,FM-5518-WA,5518,WA,FM,7/24/2024,2024,2024,Fire,SWAWILLA FIRE,0,0,1,1,7/17/2024 12:00:00 AM,,,0,53,0,14240,Colville Indian Reservation,24096,,2024072501,10,R,8/27/2024 6:22:15 PM,14
Low Risk,FM-5518-WA,5518,WA,FM,7/24/2024,2024,2024,Fire,SWAWILLA FIRE,0,0,1,1,7/17/2024 12:00:00 AM,,,0,53,19,99019,Ferry (County),24096,,2024072501,10,R,8/27/2024 6:22:15 PM,22
Low Risk,FM-5518-WA,5518,WA,FM,7/24/2024,2024,2024,Fire,SWAWILLA FIRE,0,0,1,1,7/17/2024 12:00:00 AM,,,0,53,47,99047,Okanogan (County),24096,,2024072501,10,R,8/27/2024 6:22:15 PM,39
Low Risk,FM-5517-WA,5517,WA,FM,7/23/2024,2024,2024,Fire,WEST WHITE SWAN FIRE,0,0,1,1,7/22/2024 12:00:00 AM,,,0,53,0,79995,Yakama Reservation,24094,,2024072302,10,R,8/27/2024 6:22:15 PM,8
Low Risk,FM-5517-WA,5517,WA,FM,7/23/2024,2024,2024,Fire,WEST WHITE SWAN FIRE,0,0,1,1,7/22/2024 12:00:00 AM,,,0,53,77,99077,Yakima (County),24094,,2024072302,10,R,8/27/2024 6:22:15 PM,34
Moderate Risk,FM-5516-OR,5516,OR,FM,7/22/2024,2024,2024,Fire,DURKEE FIRE,0,0,1,1,7/21/2024 12:00:00 AM,,,0,41,1,99001,Baker (County),24093,,2024072301,10,R,8/27/2024 6:22:15 PM,69
Low Risk,FM-5516-OR,5516,OR,FM,7/22/2024,2024,2024,Fire,DURKEE FIRE,0,0,1,1,7/21/2024 12:00:00 AM,,,0,41,45,99045,Malheur (County),24093,,2024072301,10,R,8/27/2024 6:22:15 PM,7
Moderate Risk,FM-5515-CA,5515,CA,FM,7/21/2024,2024,2024,Fire,HAWARDEN FIRE,0,0,1,1,7/21/2024 12:00:00 AM,,,0,6,65,99065,Riverside (County),24088,,2024072201,9,R,8/27/2024 6:22:15 PM,65
High Risk,FM-5514-OR,5514,OR,FM,7/21/2024,2024,2024,Fire,BATTLE MOUNTAIN FIRE COMPLEX,0,0,1,1,7/21/2024 12:00:00 AM,,,0,41,23,99023,Grant (County),24092,,2024072202,10,R,8/27/2024 6:22:15 PM,243
Low Risk,FM-5514-OR,5514,OR,FM,7/21/2024,2024,2024,Fire,BATTLE MOUNTAIN FIRE COMPLEX,0,0,1,1,7/21/2024 12:00:00 AM,,,0,41,49,99049,Morrow (County),24092,,2024072202,10,R,8/27/2024 6:22:15 PM,26
Low Risk,FM-5514-OR,5514,OR,FM,7/21/2024,2024,2024,Fire,BATTLE MOUNTAIN FIRE COMPLEX,0,0,1,1,7/21/2024 12:00:00 AM,,,0,41,59,99059,Umatilla (County),24092,,2024072202,10,R,8/27/2024 6:22:15 PM,13
